Gene,LA3475,LA1316,LA1589,LA1777,LA2172,LA3778,LA4117,LA0716
Solyc05g007990.3.1,4.517065652,3.678773246,3.581322342,4.609459571,3.643700134,3.339365685,6.103868971,4.00299267
Solyc05g008000.3.1,2.45194872,1.247801735,5.001985577,3.142813344,0.696992131,1.526833835,2.201732409,2.643638595
Solyc05g008040.3.1,4.846727932,7.514453409,4.855528061,5.44754313,9.615405947,9.846209019,8.046507898,9.028807532
Solyc05g008060.3.1,9.891456923,8.348676614,9.422816712,7.752272915,11.28409667,7.631058086,10.77522009,13.19968679
Solyc05g008090.3.1,39.05922828,41.04923855,31.89135957,50.85071991,29.99425484,52.60922553,65.10678075,28.18719181
Solyc05g008100.1.1,121.0573567,72.04475736,107.0311958,130.1124724,104.468825,65.30661088,88.78092875,41.78603439
Solyc05g008110.3.1,224.5510326,74.57989892,297.9084397,203.6543047,104.6642117,89.25383435,155.5020894,69.75521268
Solyc05g008140.3.1,47.56147492,26.88240727,45.42189303,40.2280108,38.77478301,37.31375182,33.06862885,37.50116108
Solyc05g008180.3.1,4.605015419,4.954562244,8.255091901,4.938706684,3.673071683,7.566049302,6.634806116,6.560559172
Solyc05g008190.3.1,47.04607151,39.59090972,49.50798176,34.57094679,40.28305969,22.71515326,25.82141656,35.86558866
Solyc05g008200.3.1,21.36884002,17.45696462,18.22718004,21.92985311,11.56259455,16.47461886,23.4816639,19.85473172
Solyc05g008230.3.1,42.20640053,29.77869364,40.22997961,27.97103876,23.16440311,22.36263047,24.32258825,14.09972541
Solyc05g008260.3.1,7.509309271,12.8356402,9.860803213,13.59266771,10.44199338,14.25446231,9.65784251,15.43354018
Solyc05g008270.3.1,3.714857425,3.085143031,1.926898872,3.142813344,7.372643229,1.916422037,1.323697163,2.557115563
Solyc05g008300.2.1,6.846232407,6.015628504,3.21760322,10.5284247,7.866623395,2.186360565,5.097146394,6.87447827
Solyc05g008330.2.1,5.537733754,11.65590916,14.13318279,3.771376013,6.047202479,2.741997107,3.512140985,3.167436053
Solyc05g008340.3.1,9.25788876,6.456926372,10.76604962,9.114158698,10.3875456,7.541371843,7.411633077,9.615858733
Solyc05g008350.3.1,23.36847577,20.49033478,17.60386406,30.74719055,26.7644433,17.92069382,19.20778998,13.25612996
Solyc05g008370.1.1,288.6636535,174.9494855,159.2767278,390.96598,158.4012214,368.9359335,295.7933628,279.6249551
Solyc05g008380.3.1,16.39219779,8.902777011,14.38158521,18.2283174,7.988647125,4.098115971,4.39553141,5.550615401
Solyc05g008400.3.1,7.605844355,4.442610963,6.000683228,2.933292454,10.88320339,10.32733227,4.453049048,11.7694982
Solyc05g008420.3.1,3.624479492,2.925217238,3.298453412,5.44754313,4.826201377,2.018463415,3.137285294,2.809678062
Solyc05g008430.3.1,11.59204087,9.649062088,7.768393241,7.961793805,11.34961052,15.338185,8.990060432,12.31835571
Solyc05g008440.2.1,26.81798633,10.15078407,12.23279181,19.98829287,11.45737819,12.13599567,22.96505513,11.27604035
Solyc05g008450.3.1,20.7798092,5.425434661,8.804724008,6.128486021,10.94024312,6.216771955,7.276367692,9.168798371
Solyc05g008460.3.1,34.99568023,37.10665035,31.9695248,30.52020959,32.62257468,26.98457074,29.58116958,31.38697231
Solyc05g008480.3.1,9.205612474,18.67873843,11.59257382,3.771376013,18.01169268,1.038901873,3.427253001,6.618147286
Solyc05g008510.3.1,6.561473698,7.331518129,7.4368499,4.557079349,8.07503222,2.243852087,6.904982761,3.239817994
